_id,time,txt
ObjectId("5d08a1078541638b5c24c0cd"),12小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网正式测定：06月18日04时04分在四川宜宾市长宁县（北纬28.38度，东经104.87度）发生3.1级地震，震源深度8千米。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0ce"),12小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网自动测定：06月18日04时04分在四川宜宾市长宁县附近（北纬28.43度，东经104.85度）发生3.1级左右地震，最终结果以正式速报为准。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0cf"),13小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网正式测定：06月18日02时57分在台湾海峡（北纬23.37度，东经118.55度）发生3.8级地震，震源深度13千米。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0d0"),7小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&extparam=%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#四川长宁6.0级地震#</span></a>截至6月18日9时整，共记录到2.0级及以上余震68次，其中5.0-5.9级2次，4.0-4.9级3次，3.0-3.9级12次，2.0-2.9级51次，目前最大余震5.3级。 
ObjectId("5d08a1078541638b5c24c0d1"),7小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&extparam=%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#四川长宁6.0级地震#</span></a>大地震发生后的强余震仍然会有一定的破坏性，余震活动特点及防范措施请戳视频--&gt;<a data-url="http://t.cn/EfoQrao" href="https://m.weibo.cn/p/index?containerid=2304444343612922903280&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class="surl-text">中国地震台网速报的微博视频</span></a>  
ObjectId("5d08a1078541638b5c24c0d2"),13小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网正式测定：06月18日02时58分在四川宜宾市珙县（北纬28.39度，东经104.81度）发生3.1级地震，震源深度9千米。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0d3"),13小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网自动测定：06月18日02时57分在台湾海峡附近（北纬23.38度，东经118.52度）发生4.2级左右地震，最终结果以正式速报为准。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0d4"),7小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&extparam=%23%E5%9B%9B%E5%B7%9D%E9%95%BF%E5%AE%816.0%E7%BA%A7%E5%9C%B0%E9%9C%87%23&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#四川长宁6.0级地震#</span></a>如何在地震发生第一时间科学避震，请戳视频--&gt;<a data-url="http://t.cn/EfKlk18" href="https://m.weibo.cn/p/index?containerid=2304444343648582883728&url_type=39&object_type=video&pos=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class="surl-text">中国地震台网速报的微博视频</span></a> 
ObjectId("5d08a1078541638b5c24c0d5"),7小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网正式测定：06月18日08时39分在四川宜宾市长宁县（北纬28.36度，东经104.88度）发生3.1级地震，震源深度11千米。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
ObjectId("5d08a1078541638b5c24c0d6"),13小时前,<a  href="https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%9C%B0%E9%9C%87%E5%BF%AB%E8%AE%AF%23&isnewpage=1&luicode=10000011&lfid=1076031904228041" data-hide=""><span class="surl-text">#地震快讯#</span></a>中国地震台网自动测定：06月18日02时58分在四川宜宾市长宁县附近（北纬28.42度，东经104.84度）发生3.3级左右地震，最终结果以正式速报为准。（ <a href='/n/中国地震台网'>@中国地震台网</a> ） 
